Team,Location,Football,Basketball,Latitude,Longitude
Indiana University Bloomington,"Bloomington, Indiana",1,1,39.1622222222222,-86.5222222222222
"University of Maryland, College Park","College Park, Maryland",1,1,38.9966666666667,-76.9275
University of Michigan,"Ann Arbor, Michigan",1,1,42.2813888888889,-83.7483333333333
Michigan State University,"East Lansing, Michigan",1,1,42.7480555555556,-84.4836111111111
Ohio State University,"Columbus, Ohio",1,1,39.9622222222222,-83.0005555555556
Pennsylvania State University,"University Park, Pennsylvania",1,1,40.8066666666667,-77.8802777777778
Rutgers University–New Brunswick,"New Brunswick, New Jersey",1,1,40.4866666666667,-74.4444444444444
University of Illinois Urbana–Champaign,"Champaign, Illinois",1,1,40.115,-88.2727777777778
University of Iowa,"Iowa City, Iowa",1,1,41.6666666666667,-91.5333333333333
"University of Minnesota, Twin Cities","Minneapolis-St. Paul, Minnesota",1,1,44.95,-93.2
University of Nebraska–Lincoln,"Lincoln, Nebraska",1,1,40.8091666666667,-96.6780555555556
Northwestern University,"Evanston, Illinois",1,1,42.0463888888889,-87.6947222222222
Purdue University,"West Lafayette, Indiana",1,1,40.4433333333333,-86.9236111111111
University of Wisconsin–Madison,"Madison, Wisconsin",1,1,43.0747222222222,-89.3841666666667
"University of California, Los Angeles (UCLA)","Los Angeles, California",1,1,34.05,-118.25
University of Oregon,"Eugene, Oregon",1,1,44.0555555555556,-123.136666666667
University of Southern California (USC),"Los Angeles, California",1,1,34.05,-118.25
University of Washington,"Seattle, Washington",1,1,47.6097222222222,-122.333055555556
