Institution,Location,Joined,Left,Football,Basketball,Coordinates
Baylor University,"Waco, Texas",1996,,True,True,"31°33′5″N,97°9′21″W"
Brigham Young University,"Provo, Utah",2023,,True,True,"40°14′40″N,111°39′39″W"
University of Central Florida,"Orlando, Florida",2023,,True,True,"28°32′24″N,81°22′48″W"
University of Cincinnati,"Cincinnati, Ohio",2023,,True,True,"39°06′00″N,84°30′45″W"
University of Houston,"Houston, Texas",2023,,True,True,"29°45′46″N,95°22′59″W"
Iowa State University,"Ames, Iowa",1996,,True,True,"42°02′05″N,93°37′12″W"
University of Kansas,"Lawrence, Kansas",1996,,True,True,"38°57′35″N,95°15′51″W"
Kansas State University,"Manhattan, Kansas",1996,,True,True,"39°11′19″N,96°36′17″W"
University of Oklahoma ,"Norman, Oklahoma",1996,,True,True,"35°13′15″N,97°26′37″W"
Oklahoma State University,"Stillwater, Oklahoma",1996,,True,True,"36°06′58″N,97°03′32″W"
University of Texas at Austin ,"Austin, Texas",1996,,True,True,"30°16′2″N,97°44′35″W"
Texas Christian University,"Fort Worth, Texas",2012,,True,True,"32°45′23″N,97°19′57″W"
Texas Tech University,"Lubbock, Texas",1996,,True,True,"33°35′06″N,101°50′42″W"
West Virginia University,"Morgantown, West Virginia",2012,,True,True,"39°38′1″N,79°57′2″W"
University of Arizona,"Tucson, Arizona",2024,,True,True,"32°13′18″N,110°55′35″W"
Arizona State University,"Tempe, Arizona",2024,,True,True,"33°24′46″N,111°56′35″W"
University of Colorado Boulder,"Boulder, Colorado",2024,,True,True,"40°00′54″N,105°16′14″W"
University of Utah,"Salt Lake City, Utah",2024,,True,True,"40°45′39″N,111°53′28″W"
University of Colorado Boulder,"Boulder, CO",1996,2011,True,True,"40°00′54″N,105°16′14″W"
University of Missouri,"Columbia, MO",1996,2012,True,True,"38°56′51″N,92°19′36″W"
University of Nebraska–Lincoln,"Lincoln, NE",1996,2011,True,True,"40°48′33″N,96°40′41″W"
Texas A&M University,"College Station, TX",1996,2012,True,True,"30°36′05″N,96°18′52″W"
